"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.669312167E0,6.360965176E-1,5.934209942E0,7.373583790E-1,6.013581611E0
1.679361167E0,8.481552950E-1,6.326749901E0,8.086395192E-1,6.434363184E0
1.689411167E0,8.427238163E-1,5.505916598E0,7.605257052E-1,5.621716852E0
1.699460167E0,2.857008040E-1,3.899945490E0,7.264696209E-1,3.977305355E0
1.709510167E0,-2.781008855E-1,2.494590597E0,-3.032294409E-1,2.528293979E0
1.719559167E0,-3.623861602E-1,1.794485925E0,-1.123346021E0,2.147884948E0
1.729609167E0,-5.279753606E-1,1.490277514E0,-1.692856201E0,2.316343491E0
1.739658167E0,-4.646367127E-1,1.369432524E0,-2.406528313E0,2.807598838E0
1.749708167E0,-2.486832511E-1,1.388999646E0,-3.333447357E0,3.619811412E0
1.759758167E0,-2.605811656E-3,1.339149794E0,-3.868514367E0,4.093743076E0
1.769807167E0,4.324191391E-2,9.361035579E-1,-3.902631409E0,4.013563460E0
1.779857167E0,5.932234168E-2,3.367259467E-1,-3.736831563E0,3.752441023E0
1.789906167E0,3.568391991E-1,-2.289278483E-1,-3.312208808E0,3.339231852E0
1.799956167E0,8.767703989E-1,-8.533186787E-1,-2.442214748E0,2.731536559E0
1.810005167E0,1.333157275E0,-1.540009253E0,-1.263592658E0,2.396998795E0
1.820055167E0,1.969294869E0,-2.318539120E0,-4.922139359E-1,3.081561372E0
1.830104167E0,3.098365899E0,-3.189529839E0,-1.155296377E0,4.594309693E0
1.840153875E0,4.491926666E0,-4.083182026E0,-2.860118466E0,6.710443970E0
1.850202875E0,5.269665697E0,-5.067583585E0,-4.098217556E0,8.381238995E0
1.860252875E0,5.490327337E0,-5.833615614E0,-3.710248658E0,8.828403621E0
1.870301875E0,5.463152987E0,-6.328093591E0,-2.307862981E0,8.672775830E0
1.880351875E0,5.328791572E0,-6.464643034E0,-1.277077507E0,8.474582948E0
1.890400875E0,4.995782701E0,-6.207335140E0,-1.635308051E0,8.134069507E0
1.900450875E0,4.343005685E0,-5.932104360E0,-3.124029036E0,7.988186148E0
1.910499875E0,3.467782459E0,-5.768691639E0,-4.706733781E0,8.213200430E0
1.920549875E0,2.833005512E0,-5.649955155E0,-4.824017233E0,7.951041173E0
1.930599875E0,2.726142676E0,-5.737594977E0,-3.150185094E0,7.090522980E0
1.940648875E0,2.761522131E0,-6.551030383E0,-7.109952570E-1,7.144754566E0
1.950698875E0,2.915518496E0,-7.438775128E0,9.815159583E-1,8.049782425E0
1.960747875E0,3.121289324E0,-7.218022272E0,1.926804176E0,8.096596007E0
1.970797875E0,2.692181755E0,-6.016158085E0,1.654631929E0,6.795572641E0
1.980846875E0,1.585601748E0,-4.770222849E0,2.110539334E-1,5.031272472E0
1.990896875E0,-4.554720792E-1,-3.690681828E0,-2.552260808E0,4.510279637E0
2.000945875E0,-2.580494674E0,-2.694192905E0,-4.513178079E0,5.855459379E0
2.010995875E0,-3.770318567E0,-2.442467347E0,-3.597438619E0,5.755216195E0
2.021044875E0,-4.482124394E0,-3.064635651E0,-1.461422090E0,5.622916083E0
2.031094875E0,-4.928117552E0,-3.966983233E0,1.823290479E-1,6.329023816E0
2.041143875E0,-5.012085907E0,-4.571632109E0,1.529942687E0,6.954246897E0
2.051193875E0,-4.651813223E0,-4.780215740E0,2.611627296E0,7.163129618E0
2.061242875E0,-3.858635496E0,-4.939433668E0,3.506521432E0,7.182114272E0
2.071292875E0,-2.743251629E0,-4.887755392E0,3.335845885E0,6.522534020E0
2.081341875E0,-1.349651393E0,-4.693041941E0,2.078913352E0,5.307361140E0
2.091391875E0,-5.410020800E-1,-4.368510363E0,1.479930428E0,4.644002596E0
2.101441875E0,-5.511206867E-1,-4.561697105E0,2.830990269E0,5.396973262E0
2.111490875E0,-4.415890351E-1,-4.746852697E0,2.677334797E0,5.467699061E0
2.121540875E0,-4.465196997E-1,-3.936880013E0,3.932264221E-1,3.981586505E0
2.131589875E0,-3.246819980E-1,-2.587261364E0,-5.091419175E-2,2.608051384E0
2.141639875E0,-2.566337103E-1,-1.413399493E0,1.496999474E0,2.074744903E0
2.151688875E0,-4.293285933E-1,6.944509989E-1,4.709187273E0,4.779438252E0
2.161738875E0,-1.350829607E-1,3.443701286E0,6.449664806E0,7.312694583E0
2.171787875E0,-2.847171561E-1,5.391412328E0,6.764853119E0,8.655150401E0
2.181837875E0,-8.837758749E-1,6.551715676E0,6.622569312E0,9.357588492E0
2.191886875E0,-1.274488652E0,7.457397341E0,5.484077833E0,9.344100069E0
2.201936875E0,-1.599530108E0,8.015864323E0,4.268899243E0,9.221500862E0
2.211985875E0,-2.058316973E0,8.257504018E0,3.832915641E0,9.333503291E0
2.222035875E0,-2.602995636E0,8.374006281E0,3.792316669E0,9.554121268E0
2.232084875E0,-3.051271547E0,8.435151785E0,4.069931358E0,9.850197204E0
2.242134875E0,-3.319984436E0,8.310722451E0,4.944449995E0,1.022438214E1
2.252183875E0,-3.353953543E0,8.258022666E0,5.779399645E0,1.062287169E1
2.262233875E0,-3.179586941E0,8.222190928E0,5.152327867E0,1.021081188E1
2.272282875E0,-2.832571064E0,7.912920583E0,4.165054740E0,9.380056075E0
2.282332875E0,-2.589842032E0,7.636008729E0,3.168467583E0,8.663434532E0
2.292382875E0,-2.459077825E0,7.395710970E0,2.827198057E0,8.290757104E0
2.302431875E0,-2.294546825E0,6.995942098E0,2.932547927E0,7.925149103E0
2.312481875E0,-1.854913245E0,6.573845049E0,2.836378186E0,7.396024816E0
2.322530875E0,-1.238430335E0,6.178943399E0,2.434028061E0,6.755556515E0
2.332580875E0,-5.839403041E-1,5.654473883E0,1.696542140E0,5.932311219E0
2.342629875E0,1.759178683E-1,4.733453802E0,1.217542326E-1,4.738286198E0
2.352679875E0,1.044511959E0,2.950693883E0,-2.793194160E0,4.195179762E0
2.362728875E0,2.069967697E0,-8.712620294E-1,-6.695109869E0,7.061753320E0
2.372778875E0,3.430961373E0,-6.801053231E0,-1.082669398E1,1.323794257E1
2.382827875E0,4.339331587E0,-1.337293303E1,-1.391216677E1,1.977911830E1
2.392877875E0,4.289621191E0,-1.701925671E1,-1.111608554E1,2.077554588E1
2.402926875E0,2.873044614E0,-1.364834858E1,-7.778142262E0,1.596969948E1
2.412976875E0,-2.055832053E-1,-6.617743020E0,-6.729161714E0,9.440254473E0
2.423025875E0,-1.304812312E0,-1.226751106E0,-7.496284833E0,7.707252412E0
2.433075875E0,-1.337403815E0,2.479938059E0,-6.489431135E0,7.074705520E0
2.443125875E0,-1.295164991E0,4.550293280E0,-1.272199759E0,4.899093133E0
2.453174875E0,-1.036878127E0,4.946031082E0,1.740610850E-1,5.056543975E0
2.463224875E0,-8.821772461E-1,3.095974388E0,-9.018746007E0,9.576067755E0
2.473273875E0,-7.387484814E-1,3.451131928E-1,-1.405781506E1,1.408144228E1
2.483323875E0,-2.182972010E0,-1.645687151E0,2.557225971E0,3.743401884E0
2.493372875E0,-2.431239232E0,-2.019797271E0,1.731166544E1,1.759784832E1
2.503422875E0,-6.825489914E0,-3.996094181E0,3.386860211E0,8.603888851E0
2.513471875E0,-6.490167884E0,-9.663329027E0,-2.744372540E0,1.195967339E1
2.523521875E0,-3.945338010E0,-6.753035896E0,8.847296873E0,1.180863446E1
2.533570875E0,-4.910181218E0,-4.107253844E-1,1.154572492E1,1.255318042E1
2.543620875E0,-5.834886798E0,4.757656597E0,5.234475399E0,9.169565582E0
2.553669875E0,-2.308933022E0,8.973649356E0,1.418430144E0,9.373873188E0
2.563719875E0,1.330680102E0,9.713160753E0,5.261725763E0,1.112663289E1
2.573768875E0,8.822496054E-1,7.262783293E0,8.024393656E0,1.085897228E1
2.583818875E0,-8.957011250E-1,3.626016301E0,7.447916665E0,8.331970797E0
2.593868875E0,-1.399846816E0,5.895361626E-1,6.316584517E0,6.496642514E0
2.603917875E0,-1.338348433E0,-2.318680623E0,5.581651490E0,6.190499956E0
2.613967875E0,-1.249214647E0,-5.021027470E0,5.652744277E0,7.663208985E0
2.624016875E0,-1.565891953E0,-7.077533560E0,7.142386783E0,1.017630522E1
2.634066875E0,-2.083428572E0,-8.321379002E0,7.701815633E0,1.152839916E1
2.644115875E0,-2.270380721E0,-8.984148617E0,6.840673964E0,1.151800223E1
2.654165875E0,-2.158711327E0,-9.317725253E0,4.597673854E0,1.061219315E1
2.664214875E0,-1.154294895E0,-7.777832944E0,1.446905208E0,7.995037004E0
2.674264875E0,2.226078853E-1,-4.796104964E0,-1.018665658E0,4.908141891E0
2.684313875E0,1.331507775E0,-1.646433256E0,-2.223718332E0,3.070599069E0
2.694363875E0,2.111737574E0,9.989014846E-1,-1.907062368E0,3.015646968E0
2.704412875E0,2.682071042E0,3.079150779E0,-7.135287094E-1,4.145334464E0
2.714462875E0,2.753858770E0,4.676530573E0,2.009699714E-1,5.430843881E0
2.724511875E0,2.282767609E0,5.653136040E0,1.338099049E0,6.241753288E0
2.734561875E0,1.855556438E0,6.318574324E0,2.891926442E0,7.192406394E0
2.744610875E0,1.630487899E0,6.790744005E0,2.385672172E0,7.379981480E0
2.754660875E0,1.098829231E0,6.413067668E0,1.012727811E0,6.584867517E0
2.764710875E0,-1.173378307E-1,4.736404892E0,5.174937880E-1,4.766036014E0
