"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.772372958E0,-1.022849926E1,2.086081308E0,-7.401369759E-1,1.046526326E1
1.782423958E0,-1.112893889E1,-1.697663636E0,8.678897063E0,1.421473169E1
1.792474958E0,-1.097865493E1,-1.189142166E1,1.886760719E1,2.485806457E1
1.802524958E0,-6.383654419E0,-2.274529934E1,1.846600054E1,2.998487722E1
1.812575958E0,1.127313065E0,-3.158430837E1,7.742711059E0,3.253903724E1
1.822626958E0,9.843312757E0,-3.505344037E1,-1.221254256E1,3.840287338E1
1.832677958E0,1.416600492E1,-3.064695760E1,-1.855250775E1,3.852411258E1
1.842727958E0,1.442705036E1,-2.095000299E1,-1.120839086E1,2.779695007E1
1.852778958E0,1.352890985E1,-1.300555949E1,-4.230877723E0,1.923736743E1
1.862829958E0,1.278772147E1,-7.634704800E0,-1.043385639E0,1.492994278E1
1.872880958E0,1.051386443E1,-3.377606115E0,-5.183198826E0,1.219898022E1
1.882931958E0,4.044454747E0,8.530385971E-2,-1.414260203E1,1.470979548E1
1.892981958E0,-5.510180973E0,6.694377798E-1,-2.018566900E1,2.093493430E1
1.903032958E0,-9.772845622E0,9.434353817E-1,-2.390467123E1,2.584244355E1
1.913083958E0,-8.586019889E0,1.354879974E0,-2.663108989E1,2.801375352E1
1.923134958E0,-1.272135148E0,1.035904419E-1,-2.367968441E1,2.371405727E1
1.933185958E0,5.527716773E0,-9.911545086E-1,-1.380268701E1,1.490141633E1
1.943235958E0,7.263852164E0,-1.219718660E0,-1.188288707E-1,7.366504067E0
1.953286958E0,7.278740344E0,1.502718635E0,7.703620083E0,1.070439100E1
1.963337958E0,7.445622218E0,6.671690016E0,6.621103415E0,1.199115292E1
1.973388958E0,7.487911620E0,1.127348323E1,-5.137673575E-1,1.354341912E1
1.983438958E0,7.068287943E0,1.332144011E1,-4.433635189E0,1.571873347E1
1.993489958E0,6.580705002E0,1.387327109E1,-3.962176237E0,1.585787405E1
2.003540958E0,6.789407916E0,1.454314682E1,-6.349230691E0,1.726012485E1
2.013591958E0,6.736820397E0,1.526524521E1,-7.558662345E0,1.831791028E1
2.023642958E0,6.001803170E0,1.406713084E1,-4.364262945E0,1.590448372E1
2.033692958E0,4.579773772E0,9.024266363E0,-2.566552865E0,1.044025406E1
